ORI	DES	TIME	ARR
PHX	IAH	1417352400	1417361640
PHX	SEA	1417352400	1417362900
SLC	DFW	1417352400	1417362600
YYZ	LAX	1417352400	1417371300
YYZ	SFO	1417352400	1417372800
FRA	BOG	1417352400	1417395300
AYT	HEL	1417352400	1417366500
CAN	MEL	1417352400	1417387200
CAN	SYD	1417352400	1417386300
AYT	FRA	1417352400	1417365900
MSP	JFK	1417352400	1417361700
MSP	SLC	1417352400	1417362840
SLC	LAS	1417352400	1417358100
SLC	MSP	1417352400	1417361160
TPA	MSP	1417352400	1417364520
CPH	DUB	1417352400	1417360500
DUB	AMS	1417352400	1417358400
CPH	DXB	1417352400	1417374900
NRT	DXB	1417352400	1417395600
VIE	DXB	1417352400	1417372800
DEN	IAH	1417352400	1417360980
DEN	LAS	1417352400	1417359600
DEN	SFO	1417352400	1417362300
IAH	LAS	1417352400	1417364340
MNL	LAX	1417352400	1417401000
SLC	LAX	1417352460	1417359840
MIA	GRU	1417352700	1417383300
MSP	DFW	1417352700	1417362900
MSP	PHL	1417352700	1417362180
FCO	DUS	1417352700	1417359900
FRA	CTU	1417352700	1417387800
FRA	PEK	1417352700	1417385700
MSP	BOS	1417352700	1417362300
EWR	MEX	1417352700	1417373100
PHX	BWI	1417353000	1417368000
PHX	LAS	1417353000	1417356900
SEA	SFO	1417353000	1417360980
TXL	OSL	1417353000	1417358400
YYZ	PHX	1417353000	1417370340
ATL	SLC	1417353000	1417368420
MSP	SFO	1417353000	1417367700
CAN	BNE	1417353000	1417386600
MSP	LAS	1417353000	1417365240
SLC	SFO	1417353000	1417361340
MAD	DXB	1417353000	1417378500
FRA	RUH	1417353000	1417374000
AYT	ZRH	1417353300	1417366500
DFW	JFK	1417353300	1417366500
IAH	DFW	1417353300	1417357860
JFK	LHR	1417353300	1417378200
SEA	PHX	1417353300	1417363200
YYZ	LHR	1417353300	1417379400
YYZ	BOG	1417353300	1417374600
ATL	LAX	1417353300	1417371600
ATL	MEX	1417353300	1417366200
ATL	SEA	1417353300	1417373700
MEX	ATL	1417353300	1417365480
MSP	SEA	1417353300	1417366920
BNE	TPE	1417353300	1417384800
MUC	PEK	1417353300	1417389000
DEN	SLC	1417353300	1417359180
JFK	MSP	1417353300	1417364700
IAH	TPA	1417353300	1417360860
DEN	DTW	1417353600	1417363980
IAH	DTW	1417353600	1417363800
BNE	KUL	1417353600	1417383000
IAH	FLL	1417353600	1417362300
SFO	DEN	1417353840	1417362960
TPA	FLL	1417353900	1417357680
PHX	SLC	1417353900	1417359600
ATL	LAS	1417353900	1417370340
DUB	CDG	1417353900	1417360800
MCO	DTW	1417353900	1417363380
MSP	EWR	1417353900	1417363680
ATH	DXB	1417353900	1417370700
MUC	DXB	1417353900	1417374900
DTW	MCO	1417353960	1417363200
DFW	DTW	1417354200	1417363740
DFW	LAS	1417354200	1417364700
PHL	MSP	1417354200	1417364700
SEA	DEN	1417354200	1417363320
AMS	DXB	1417354200	1417377540
LHR	PVG	1417354200	1417395000
CAN	LAX	1417354200	1417399800
DEN	MSP	1417354200	1417361160
IST	RUH	1417354200	1417369500
BSB	MIA	1417354320	1417382820
BOS	LAS	1417354320	1417376280
IAH	BOS	1417354320	1417367880
MCO	GRU	1417354500	1417386000
SLC	PHL	1417354500	1417369440
YYZ	MEX	1417354500	1417373100
IAH	CDG	1417354500	1417386600
FLL	SFO	1417354500	1417377600
DTW	SLC	1417354500	1417369320
JFK	PHL	1417354500	1417359180
DUS	DXB	1417354500	1417377540
IST	DXB	1417354500	1417369500
LIS	DXB	1417354500	1417380900
LAS	DEN	1417354500	1417361400
AMS	MEX	1417354500	1417397100
MCO	FLL	1417354560	1417358820
DTW	TPA	1417354680	1417364400
LAS	LAX	1417354800	1417358700
DUB	LHR	1417354800	1417359900
AMS	PEK	1417354800	1417388100
DUB	BCN	1417354800	1417363800
ZRH	OSL	1417354800	1417363500
DTW	SFO	1417354860	1417374000
DFW	SEA	1417355100	1417371000
LAX	DEN	1417355100	1417364100
YYZ	DEN	1417355100	1417368360
SEA	IAH	1417355100	1417370280
DTW	LAX	1417355100	1417373700
DTW	SEA	1417355100	1417373280
IAH	SLC	1417355100	1417367340
ORD	SLC	1417355400	1417368480
PHX	YYZ	1417355400	1417370400
ATL	BWI	1417355400	1417361940
FCO	NRT	1417355400	1417399500
DTW	DEN	1417355400	1417366860
BCN	DXB	1417355400	1417379700
MEX	DEN	1417355520	1417368960
PHX	EWR	1417355700	1417372560
SEA	DFW	1417355700	1417369800
SFO	LAS	1417355700	1417361100
EWR	BWI	1417355760	1417360080
ATH	DUS	1417356000	1417367700
JFK	DFW	1417356000	1417371000
LAS	ORD	1417356000	1417369200
LAX	JFK	1417356000	1417374600
LAX	ORD	1417356000	1417370700
LAX	SEA	1417356000	1417365960
LAX	SLC	1417356000	1417362720
SEA	ORD	1417356000	1417370400
SFO	LAX	1417356000	1417361400
SFO	ORD	1417356000	1417371300
SFO	PHX	1417356000	1417362840
SFO	SEA	1417356000	1417363980
SLC	PHX	1417356000	1417362540
YVR	LAX	1417356000	1417366500
YVR	SEA	1417356000	1417358940
YVR	SFO	1417356000	1417364220
LAS	ATL	1417356000	1417369560
MEX	MCO	1417356000	1417367220
SEA	SLC	1417356000	1417362900
SFO	BOS	1417356000	1417376700
CTU	BOM	1417356000	1417375200
LAS	DTW	1417356000	1417369800
DUB	MUC	1417356000	1417364700
LAS	SFO	1417356000	1417361880
MNL	SFO	1417356000	1417402800
BRU	OSL	1417356000	1417363800
LAX	BWI	1417356000	1417374000
SFO	EWR	1417356120	1417375800
DUB	DUS	1417356300	1417362900
LHR	PHX	1417356300	1417395000
SEA	LAS	1417356300	1417364520
SEA	DTW	1417356300	1417371240
SFO	SLC	1417356300	1417363380
DUB	VIE	1417356300	1417366200
SEA	LAX	1417356600	1417365840
VIE	CPH	1417356600	1417362900
JFK	DTW	1417356600	1417364160
ORY	ARN	1417356600	1417366200
DUB	FCO	1417356600	1417367700
YVR	ORD	1417356660	1417371000
LAX	LAS	1417356900	1417360920
LAS	PHX	1417356900	1417361100
LHR	BWI	1417356900	1417387800
SEA	EWR	1417356900	1417375740
SFO	ATL	1417356900	1417373160
VIE	PEK	1417356900	1417389300
CAN	HKG	1417356900	1417360800
LIS	DUB	1417356900	1417366800
DFW	BWI	1417357200	1417367280
MIA	PHX	1417357200	1417375920
YYZ	LAS	1417357200	1417374600
FCO	YYZ	1417357200	1417392600
LAX	ATL	1417357200	1417372500
FCO	RUH	1417357200	1417374900
MNL	SYD	1417357200	1417386600
ORD	LAS	1417357320	1417371900
JFK	NRT	1417357500	1417409100
LHR	YVR	1417357500	1417392300
CGK	NRT	1417357500	1417383300
SLC	ORD	1417357680	1417369380
CLT	SEA	1417357800	1417378800
LAX	PHX	1417357800	1417362540
MIA	BWI	1417357800	1417367280
SEA	ATL	1417357800	1417374300
DEL	JED	1417357800	1417379400
HEL	FCO	1417357800	1417370100
LAS	SLC	1417357800	1417362600
SLC	DTW	1417357800	1417370220
ARN	FLL	1417357800	1417395600
CLT	MEX	1417358100	1417373220
PHX	JFK	1417358100	1417375080
MUC	BOS	1417358100	1417390500
ATH	BRU	1417358400	1417371000
CPH	MAD	1417358400	1417370400
CPH	ORD	1417358400	1417392600
LIS	GIG	1417358400	1417393500
SFO	JFK	1417358700	1417378380
ARN	VIE	1417358700	1417366500
YVR	MSP	1417358700	1417371120
SFO	NRT	1417358700	1417402500
CPH	AYT	1417358700	1417371600
CPH	NRT	1417358700	1417398000
BOG	FLL	1417358820	1417373100
BOG	EWR	1417358880	1417380780
KUL	NRT	1417359000	1417383600
LAX	BOS	1417359000	1417378020
DEL	NRT	1417359000	1417386000
BOG	MCO	1417359000	1417374360
BNE	HKG	1417359000	1417389900
MUC	SFO	1417359000	1417402800
PVG	ZRH	1417359000	1417405200
EWR	PVG	1417359300	1417413900
SLC	IAH	1417359480	1417371000
LAS	JFK	1417359600	1417377120
LAX	YYZ	1417359600	1417376640
ORD	LHR	1417359600	1417387200
SEA	JFK	1417359600	1417378500
YVR	YYZ	1417359600	1417375620
YYZ	TPA	1417359600	1417369920
LAS	SEA	1417359600	1417368900
HEL	MAD	1417359600	1417375500
TPE	SYD	1417359600	1417393200
SFO	DTW	1417359600	1417375620
BRU	DUB	1417359600	1417365600
MEX	EWR	1417359600	1417376640
YVR	IAH	1417359600	1417375500
DEN	MCO	1417359720	1417371960
MEX	LAS	1417359900	1417374420
IAH	SEA	1417359900	1417377780
PVG	HEL	1417359900	1417398000
PVG	CGK	1417359900	1417383600
DEN	EWR	1417360080	1417373400
MIA	TPA	1417360200	1417364220
CDG	BOS	1417360200	1417388400
DTW	MEX	1417360200	1417376400
HEL	PVG	1417360200	1417392900
CAN	IST	1417360200	1417404000
MSP	TPA	1417360200	1417371420
SIN	MUC	1417360200	1417407000
SVO	DEL	1417360200	1417382100
DTW	JFK	1417360500	1417367040
LAX	DTW	1417360500	1417376100
BWI	LAX	1417360500	1417382400
IST	NRT	1417360500	1417401000
OSL	BRU	1417360500	1417367700
HKG	IST	1417360500	1417403400
HEL	NRT	1417360800	1417395900
HKG	FRA	1417360800	1417408200
MSP	BWI	1417360800	1417369860
BCN	OSL	1417360800	1417373100
LAS	BWI	1417360800	1417376700
LAS	YVR	1417361100	1417371480
SEA	YVR	1417361100	1417364040
CGK	MEL	1417361100	1417384800
EWR	NRT	1417361100	1417412700
ORY	JFK	1417361400	1417393800
YVR	DEN	1417361400	1417371480
HKG	CDG	1417361400	1417410000
SLC	SEA	1417361400	1417369020
SVO	CAN	1417361400	1417396200
SLC	BWI	1417361400	1417376100
OSL	DUS	1417361400	1417368300
SIN	ZRH	1417361400	1417410600
KUL	IST	1417361400	1417402800
PVG	CPH	1417361400	1417405800
DUS	BCN	1417361700	1417369500
BOM	NRT	1417361700	1417391100
SFO	YYZ	1417361700	1417379520
ARN	BCN	1417361700	1417374600
CGK	PEK	1417361700	1417387800
SLC	JFK	1417361760	1417377540
DFW	NRT	1417362000	1417411200
KUL	CDG	1417362000	1417410600
JFK	DXB	1417362000	1417407000
JFK	JNB	1417362000	1417416000
TPE	SEA	1417362000	1417399800
TPE	YVR	1417362000	1417401000
LAX	YVR	1417362300	1417372560
TPE	DXB	1417362300	1417398000
HKG	MUC	1417362300	1417408200
RUH	MNL	1417362300	1417399500
KUL	AMS	1417362540	1417409940
ATL	NRT	1417362540	1417415100
TPE	CDG	1417362600	1417413000
TPE	FRA	1417362600	1417411500
HKG	JNB	1417362600	1417411200
MSP	YVR	1417362600	1417377240
JED	CGK	1417362600	1417396800
SIN	IST	1417362600	1417407000
JNB	SYD	1417362600	1417405500
LAS	EWR	1417362840	1417380480
DFW	YVR	1417362900	1417379100
KUL	LHR	1417362900	1417412100
SIN	NRT	1417362900	1417387200
SFO	YVR	1417362900	1417371240
SIN	CDG	1417362900	1417413300
SIN	HEL	1417362900	1417407300
PVG	LHR	1417362900	1417409400
SIN	AMS	1417362900	1417412700
ORD	YVR	1417363020	1417379580
KUL	FRA	1417363140	1417410600
LAS	CLT	1417363140	1417377780
HKG	ZRH	1417363140	1417410600
BCN	DUS	1417363200	1417371300
LAX	MCO	1417363200	1417380000
LHR	LAS	1417363200	1417401000
MIA	DEN	1417363200	1417379640
SEA	YYZ	1417363200	1417379640
HEL	PEK	1417363200	1417391400
DUB	EWR	1417363200	1417391400
SVO	NRT	1417363200	1417398000
SEA	MCO	1417363500	1417382640
CAN	AMS	1417363500	1417409700
ARN	DUS	1417363800	1417371000
LAX	EWR	1417363800	1417382940
YVR	PHX	1417364100	1417375080
LHR	CTU	1417364100	1417401300
AMS	PVG	1417364100	1417401600
SEA	BWI	1417364100	1417382400
CAN	CDG	1417364400	1417412400
TPE	AMS	1417364400	1417413300
SFO	FLL	1417364400	1417383600
OSL	ORY	1417364700	1417373400
MIA	DTW	1417364760	1417376220
LHR	PEK	1417365000	1417400700
ZRH	BOS	1417365000	1417395900
SEA	PHL	1417365300	1417383540
DUS	ARN	1417365600	1417372500
DFW	YYZ	1417365600	1417375800
YVR	DFW	1417365600	1417380000
FLL	YYZ	1417365600	1417377000
SEA	FLL	1417365600	1417386000
DEN	FLL	1417365600	1417379100
IAH	NRT	1417365600	1417416600
SIN	BCN	1417365600	1417416000
ORD	NRT	1417365900	1417413600
HKG	HEL	1417365900	1417405200
CGK	PVG	1417365900	1417389000
MEX	MUC	1417365900	1417406700
SLC	BOS	1417365960	1417382040
CTU	MEL	1417366200	1417403400
BOS	NRT	1417366200	1417415700
PHX	FLL	1417366200	1417381860
JFK	PEK	1417366200	1417416000
PEK	IST	1417366200	1417403400
DUB	OSL	1417366200	1417374000
DEL	HKG	1417366500	1417385100
EWR	PEK	1417366500	1417417200
PVG	JFK	1417366500	1417418700
SLC	MCO	1417366620	1417381800
DEN	YYZ	1417366740	1417378500
PVG	YYZ	1417366800	1417418700
DTW	PEK	1417366800	1417417800
DEN	BOS	1417366920	1417380420
OSL	JFK	1417367100	1417397400
LAX	TPE	1417367400	1417425900
SLC	EWR	1417367400	1417383000
DUB	YYZ	1417367700	1417394700
YVR	EWR	1417367700	1417386540
SEA	BOS	1417368000	1417387080
DFW	DXB	1417368000	1417420800
ARN	PEK	1417368000	1417398000
LAS	MCO	1417368000	1417383300
CPH	LIS	1417368000	1417381800
DTW	PVG	1417368120	1417420500
MSP	NRT	1417368120	1417414200
CPH	PVG	1417368300	1417405500
YYZ	PVG	1417368600	1417420800
PVG	FCO	1417368600	1417416300
PEK	KUL	1417368600	1417392000
DTW	NRT	1417368600	1417417200
IAH	YYZ	1417368900	1417379700
IST	BOM	1417368900	1417390800
GRU	ZRH	1417368900	1417410600
TXL	ORY	1417369200	1417375500
PVG	SEA	1417369200	1417408740
OSL	LIS	1417369200	1417384200
DEN	TPA	1417369200	1417380900
JNB	FRA	1417369200	1417408200
ZRH	AYT	1417369500	1417381200
LHR	MNL	1417369500	1417418100
JNB	IST	1417369500	1417404000
DUB	JFK	1417369800	1417397100
DUB	LIS	1417369800	1417379700
DEN	JFK	1417369860	1417383120
PHX	MEX	1417370100	1417381260
ORD	PEK	1417370400	1417419000
IST	DEL	1417370400	1417391700
LAS	TPA	1417370400	1417385400
ARN	LIS	1417370400	1417386600
SLC	YVR	1417370460	1417379400
DUS	ATH	1417370700	1417381500
DUB	PHL	1417370700	1417399200
YVR	LAS	1417370700	1417380240
CPH	ORY	1417370700	1417377900
DUS	OSL	1417370700	1417377300
DEL	EWR	1417370700	1417426800
SFO	MCO	1417370880	1417389420
PHX	YVR	1417371000	1417383300
DUB	IST	1417371000	1417386600
JED	BOM	1417371300	1417387200
JNB	CDG	1417371300	1417410300
LAX	FLL	1417371300	1417388400
JFK	IST	1417371300	1417405500
TPA	LAS	1417371600	1417389900
JNB	LHR	1417371900	1417411800
TXL	PEK	1417371900	1417405800
DEN	YVR	1417372140	1417383420
PVG	YVR	1417372200	1417410600
CDG	PEK	1417372200	1417408800
DUB	BOS	1417372200	1417397700
DUB	ZRH	1417372200	1417379700
JNB	ZRH	1417372200	1417410600
JNB	ATL	1417372500	1417433160
BOM	EWR	1417372800	1417431900
LAX	NRT	1417372920	1417416000
DUS	PEK	1417373100	1417409100
PVG	SFO	1417373100	1417411800
FRA	GRU	1417373100	1417417200
TPA	YYZ	1417373400	1417383420
FCO	PEK	1417373400	1417411200
IAH	BWI	1417373580	1417384320
GRU	FCO	1417373700	1417414500
BRU	ATH	1417374000	1417385400
MEX	MAD	1417374000	1417411800
GIG	FCO	1417374000	1417413900
DXB	ATL	1417374000	1417430520
AYT	OSL	1417374000	1417389000
DUB	ARN	1417374000	1417383300
LAX	MNL	1417374000	1417434600
GRU	MAD	1417374300	1417411800
LAX	TPA	1417374300	1417390500
DEN	NRT	1417374300	1417419000
MCO	MEX	1417374540	1417387500
DUS	NRT	1417374600	1417417200
YYZ	PEK	1417374900	1417423800
JED	KUL	1417375200	1417406100
JFK	SVO	1417375200	1417407600
DUB	SFO	1417375200	1417414800
JFK	DEL	1417375500	1417425600
JFK	PVG	1417375500	1417425900
SEA	NRT	1417375500	1417414500
YYZ	BWI	1417375800	1417381740
ORD	DEL	1417375800	1417427700
YVR	CAN	1417375800	1417425600
ORY	OSL	1417375800	1417384200
OSL	BCN	1417375800	1417388100
MUC	JNB	1417375800	1417414200
BOG	MAD	1417375980	1417411500
CLT	YYZ	1417376100	1417383120
MEX	CLT	1417376400	1417389240
JNB	MUC	1417376400	1417413600
MEX	YYZ	1417376700	1417392600
AMS	TPE	1417376700	1417420200
FCO	PVG	1417376700	1417415700
DUB	BRU	1417376700	1417382400
FRA	JNB	1417376700	1417415700
GRU	LIS	1417376700	1417412100
BOM	ZRH	1417377000	1417410900
GIG	CDG	1417377300	1417417200
BOM	MUC	1417377300	1417409100
SFO	PEK	1417377300	1417422300
AMS	CTU	1417377300	1417412400
DUB	DXB	1417377300	1417404300
BOM	HKG	1417377600	1417397400
DUB	ORD	1417377600	1417408200
SFO	PVG	1417377600	1417429500
BOM	JNB	1417377900	1417410000
DEL	JFK	1417377900	1417433700
GRU	LHR	1417377900	1417418400
CPH	PEK	1417377900	1417410300
ORY	TXL	1417378200	1417384200
YVR	PVG	1417378200	1417422000
BOG	JFK	1417378440	1417399200
GRU	CDG	1417378500	1417419000
YVR	PEK	1417378800	1417420800
DEL	MUC	1417378800	1417410300
LAS	MEX	1417378800	1417392300
BOG	GRU	1417378800	1417401000
BOM	CTU	1417378800	1417396200
MCO	BOG	1417378920	1417393800
ATL	CDG	1417379280	1417410600
LAS	YYZ	1417379400	1417394100
MIA	MSP	1417379400	1417393440
BOG	YYZ	1417379400	1417401600
DEL	ORD	1417379400	1417437000
LAS	BOS	1417379400	1417397100
FLL	MSP	1417379400	1417393380
GRU	JNB	1417379400	1417411200
DEL	ZRH	1417379700	1417411500
FCO	GIG	1417379700	1417423500
ATL	AMS	1417379700	1417409100
ORY	CPH	1417379700	1417386600
DUB	MAD	1417379700	1417388700
BOM	BRU	1417380000	1417416600
YVR	NRT	1417380000	1417419000
MEX	DTW	1417380300	1417395600
LHR	JED	1417380300	1417401300
CTU	AMS	1417380300	1417422600
DEL	VIE	1417380600	1417409700
MIA	DUS	1417381200	1417413000
SEA	PEK	1417381200	1417424700
GRU	MUC	1417381200	1417423800
DTW	AMS	1417381260	1417409700
JFK	CDG	1417381500	1417408200
MIA	TXL	1417381500	1417415400
ATL	FCO	1417381500	1417416300
YVR	SLC	1417381500	1417389300
BOM	AMS	1417381800	1417420800
BOS	FRA	1417381800	1417407600
SEA	PVG	1417381920	1417428900
DTW	FRA	1417382100	1417412400
FRA	GIG	1417382100	1417424700
MUC	HKG	1417382100	1417422000
SEA	CLT	1417382400	1417399980
MUC	GRU	1417382400	1417428300
MSP	AMS	1417382520	1417412100
YVR	FRA	1417382700	1417418400
EWR	BOM	1417382700	1417435200
FCO	GRU	1417382700	1417427100
MUC	MEX	1417382700	1417431300
SEA	AMS	1417382820	1417418100
ATL	MUC	1417382940	1417416600
DEL	BRU	1417383000	1417416600
IAH	LHR	1417383000	1417416900
PHL	FRA	1417383000	1417410900
PVG	EWR	1417383000	1417434900
RUH	CGK	1417383000	1417415400
EWR	BOG	1417383240	1417404840
DEN	MEX	1417383240	1417395600
JFK	FCO	1417383300	1417414200
YYZ	IST	1417383300	1417418700
BOM	FRA	1417383300	1417414800
IAH	BOG	1417383600	1417401900
HEL	HKG	1417383600	1417419000
EWR	DUS	1417383600	1417410300
ZRH	HKG	1417383600	1417426200
IAH	AMS	1417383900	1417418100
GRU	FRA	1417383900	1417425600
ZRH	JNB	1417383900	1417422300
LAX	AMS	1417384200	1417421100
SFO	FRA	1417384200	1417423500
YYZ	FRA	1417384500	1417411800
HEL	SIN	1417384500	1417426200
JNB	AMS	1417384500	1417425000
PVG	ORD	1417384800	1417431900
LIS	HEL	1417384800	1417401600
DEL	AMS	1417384800	1417415400
MIA	FRA	1417384800	1417417200
MIA	ZRH	1417384800	1417417500
SEA	LHR	1417385100	1417419000
SFO	CDG	1417385100	1417425300
RUH	LHR	1417385100	1417410900
SEA	FRA	1417385100	1417421700
JFK	MAD	1417385400	1417411800
MIA	LHR	1417385400	1417415400
JFK	GRU	1417385700	1417422300
BOS	FCO	1417385700	1417414800
EWR	MUC	1417386000	1417414800
BWI	SEA	1417386000	1417406400
MIA	MAD	1417386300	1417416600
JED	SIN	1417386300	1417419000
IAH	MUC	1417386300	1417423800
ATL	LHR	1417386600	1417415700
JFK	BCN	1417386600	1417414200
JFK	DUB	1417386600	1417410900
CDG	JNB	1417386600	1417425000
LHR	CAN	1417386600	1417428300
EWR	SLC	1417386600	1417405260
JFK	MUC	1417386600	1417416000
EWR	ARN	1417386600	1417415400
EWR	CPH	1417386600	1417414200
MEX	GRU	1417386900	1417422300
PVG	DTW	1417386900	1417434900
EWR	AMS	1417386900	1417414500
ATL	DUS	1417387080	1417418400
JFK	DUS	1417387200	1417413300
PHL	SEA	1417387200	1417409400
IST	PVG	1417387200	1417423800
ATL	BOG	1417387440	1417404900
JFK	HEL	1417387500	1417416600
DXB	DFW	1417387500	1417446300
SFO	AMS	1417387500	1417426200
PEK	ZRH	1417387500	1417426800
ATL	BRU	1417387560	1417418700
DFW	LHR	1417387800	1417418700
JFK	TXL	1417387800	1417415400
YYZ	DUB	1417387800	1417411200
JED	CDG	1417387800	1417410600
IST	CAN	1417387800	1417422900
IST	HKG	1417387800	1417423200
IST	JNB	1417387800	1417423200
ORD	CDG	1417387920	1417418700
ATL	MAD	1417387980	1417419000
BOS	LHR	1417388100	1417410600
ORD	MAD	1417388100	1417416600
JFK	BRU	1417388100	1417413600
DXB	NRT	1417388100	1417422000
EWR	LIS	1417388100	1417413600
YYZ	VIE	1417388400	1417419600
IST	PEK	1417388400	1417421100
DUB	CPH	1417388400	1417396200
EWR	TXL	1417388400	1417417500
IST	KUL	1417388400	1417425900
JFK	VIE	1417388400	1417418700
DFW	CDG	1417388700	1417422900
SIN	SZX	1417388700	1417402200
GIG	MAD	1417388700	1417425300
EWR	CDG	1417389000	1417415700
GRU	AMS	1417389000	1417431000
EWR	FRA	1417389000	1417416300
MSP	CDG	1417389120	1417419300
YYZ	BRU	1417389300	1417416300
JFK	ZRH	1417389300	1417416900
BOS	DUB	1417389300	1417411500
TPA	SEA	1417389300	1417410900
CLT	LHR	1417389600	1417417500
MIA	CDG	1417389600	1417421400
DTW	CDG	1417389840	1417418400
PHL	CDG	1417389900	1417416900
PHL	FCO	1417389900	1417420500
YYZ	CDG	1417389900	1417417500
EWR	BRU	1417390200	1417416600
MIA	BCN	1417390200	1417422900
PHL	BRU	1417390200	1417417500
EWR	YVR	1417390200	1417413000
BOG	CDG	1417390200	1417428600
FLL	SEA	1417390200	1417414020
SFO	DXB	1417390200	1417447500
YYZ	AMS	1417390200	1417416300
PHL	LHR	1417390500	1417416000
PHL	MUC	1417390500	1417419900
LAX	DXB	1417390500	1417448100
SYD	JNB	1417390500	1417440900
YVR	MEX	1417390800	1417409700
DEL	SVO	1417390800	1417414800
BOS	AMS	1417390920	1417416000
DFW	BOG	1417391100	1417410600
LAX	CDG	1417391100	1417430100
GIG	AMS	1417391100	1417432500
ORD	MUC	1417391100	1417423800
DFW	MAD	1417391400	1417425600
ORD	DUS	1417391400	1417421400
PHL	MAD	1417391400	1417418100
MEL	CGK	1417391400	1417417200
CLT	MUC	1417391400	1417423200
EWR	ZRH	1417391400	1417419600
YYZ	SEA	1417391700	1417410600
BNE	CAN	1417391700	1417424100
LAX	SVO	1417391700	1417436400
OSL	AYT	1417391700	1417406100
MNL	LHR	1417391700	1417444500
EWR	OSL	1417391700	1417418100
ORD	BRU	1417391700	1417422000
ATL	BSB	1417391760	1417422600
JFK	GIG	1417392000	1417428540
LAX	LHR	1417392000	1417430400
MIA	SEA	1417392000	1417416600
MSP	LHR	1417392300	1417422300
DEL	IST	1417392300	1417416300
EWR	BCN	1417392300	1417420800
SFO	LHR	1417392600	1417430100
SYD	DEL	1417392600	1417438500
EWR	DUB	1417392600	1417417200
IAH	YVR	1417392600	1417410540
MEL	LAX	1417392900	1417445400
YVR	AMS	1417392900	1417427400
SYD	MNL	1417392900	1417422300
BWI	LHR	1417393200	1417419300
FLL	LAS	1417393200	1417413000
JED	YYZ	1417393200	1417441800
IAH	DXB	1417393500	1417446300
GRU	YYZ	1417393800	1417430700
ATL	GRU	1417394100	1417428900
DXB	TPE	1417394100	1417423200
DEN	FRA	1417394100	1417428600
GIG	ATL	1417394160	1417430400
DEN	LHR	1417394400	1417426200
GIG	JFK	1417394400	1417432500
JED	FRA	1417394400	1417416300
GRU	ATL	1417394400	1417430100
JFK	DEN	1417394700	1417411620
YYZ	LIS	1417394700	1417420200
MIA	GIG	1417395000	1417426200
PEK	CGK	1417395000	1417421400
GIG	IAH	1417395000	1417432500
YYZ	MUC	1417395300	1417424400
LAS	FRA	1417395300	1417435500
GRU	DTW	1417395300	1417434120
BOS	CDG	1417395600	1417419300
TPE	CGK	1417395600	1417414800
GRU	EWR	1417395600	1417431600
GRU	ORD	1417395600	1417434300
PVG	SYD	1417395900	1417434000
DTW	GRU	1417395900	1417434300
MIA	AMS	1417395900	1417422600
BOM	IST	1417396200	1417423200
SEA	DXB	1417396200	1417448400
BNE	LAX	1417396500	1417444200
ORD	DUB	1417396500	1417424400
PVG	MEL	1417396500	1417435200
ORD	ZRH	1417396500	1417427700
ATL	JNB	1417396620	1417451700
SFO	DUB	1417396800	1417433700
BOS	MUC	1417396800	1417424100
EWR	MAD	1417396800	1417423500
MCO	FRA	1417396800	1417428300
JED	LAX	1417396800	1417456800
CLT	FRA	1417397100	1417428000
SYD	YVR	1417397100	1417448400
EWR	ORY	1417397400	1417424700
NRT	KUL	1417397400	1417424700
GRU	MEX	1417397400	1417432200
CAN	LHR	1417397400	1417444200
SFO	CPH	1417397400	1417436400
JFK	RUH	1417397400	1417440300
GRU	IAH	1417397400	1417433400
GIG	DFW	1417397700	1417437600
CGK	CAN	1417397700	1417416300
GRU	DFW	1417398000	1417435500
EWR	DEL	1417398000	1417449000
KUL	BNE	1417398300	1417428600
PHL	AMS	1417398600	1417426200
MIA	FCO	1417398600	1417433400
GIG	LHR	1417398900	1417439700
GIG	FRA	1417398900	1417440000
GIG	LIS	1417398900	1417434600
BSB	ATL	1417399080	1417430100
PHL	DUB	1417399200	1417423200
YVR	LHR	1417399200	1417432500
MIA	BSB	1417399500	1417427640
JFK	YVR	1417399800	1417421400
NRT	ZRH	1417399800	1417445400
DFW	GRU	1417400100	1417436700
GRU	LAX	1417400100	1417444800
PVG	DEL	1417400100	1417426200
BOG	BCN	1417400580	1417438200
NRT	DUS	1417400700	1417444800
JFK	ORY	1417401000	1417428300
YVR	AKL	1417401000	1417451400
NRT	AMS	1417401000	1417443000
IAH	IST	1417401000	1417442400
